window_id,suffix,Ticker,Strategy,Weight
RandomForest,322,AMZN,RandomForest,0.24999999999999967
RandomForest,322,GOOGL,RandomForest,0.25
RandomForest,322,MSFT,RandomForest,0.25
RandomForest,322,NVDA,RandomForest,0.0
XGBoost,322,AAPL,XGBoost,0.25
XGBoost,322,AMZN,XGBoost,0.24999999999999845
XGBoost,322,GOOGL,XGBoost,0.25
XGBoost,322,MSFT,XGBoost,0.25
XGBoost,322,NVDA,XGBoost,0.0
TabPFN,322,AAPL,TabPFN,0.25
TabPFN,322,AMZN,TabPFN,0.25
TabPFN,322,GOOGL,TabPFN,0.24999999999999992
TabPFN,322,MSFT,TabPFN,0.24999999999999992
TabPFN,322,NVDA,TabPFN,8.326672684688674e-17
EqualWeight,327,AAPL,EqualWeight,0.2
EqualWeight,327,AMZN,EqualWeight,0.2
EqualWeight,327,GOOGL,EqualWeight,0.2
EqualWeight,327,MSFT,EqualWeight,0.2
EqualWeight,327,NVDA,EqualWeight,0.2
Markowitz,327,AAPL,Markowitz,0.25
Markowitz,327,AMZN,Markowitz,4.718447854656915e-16
Markowitz,327,GOOGL,Markowitz,0.25
Markowitz,327,MSFT,Markowitz,0.25
Markowitz,327,NVDA,Markowitz,0.24999999999999917
RandomForest,327,AAPL,RandomForest,0.24999999999999264
RandomForest,327,AMZN,RandomForest,0.24999999999999611
RandomForest,327,GOOGL,RandomForest,0.2499999999999825
RandomForest,327,MSFT,RandomForest,0.2499999999999956
RandomForest,327,NVDA,RandomForest,3.319219898934023e-14
XGBoost,327,AAPL,XGBoost,0.25
XGBoost,327,AMZN,XGBoost,5.551115123125783e-17
XGBoost,327,GOOGL,XGBoost,0.24999999999999822
XGBoost,327,MSFT,XGBoost,0.25
XGBoost,327,NVDA,XGBoost,0.25
TabPFN,327,AAPL,TabPFN,0.25
TabPFN,327,AMZN,TabPFN,0.25
TabPFN,327,GOOGL,TabPFN,0.2499999999999995
TabPFN,327,MSFT,TabPFN,0.24999999999999994
TabPFN,327,NVDA,TabPFN,0.0
EqualWeight,332,AAPL,EqualWeight,0.2
EqualWeight,332,AMZN,EqualWeight,0.2
EqualWeight,332,GOOGL,EqualWeight,0.2
EqualWeight,332,MSFT,EqualWeight,0.2
EqualWeight,332,NVDA,EqualWeight,0.2
Markowitz,332,AAPL,Markowitz,0.25
Markowitz,332,AMZN,Markowitz,0.24999999999999967
Markowitz,332,GOOGL,Markowitz,0.25
Markowitz,332,MSFT,Markowitz,0.24999999999999994
Markowitz,332,NVDA,Markowitz,0.0
RandomForest,332,AAPL,RandomForest,0.25
RandomForest,332,AMZN,RandomForest,0.24999999999999972
RandomForest,332,GOOGL,RandomForest,0.24999999999999986
RandomForest,332,MSFT,RandomForest,0.25
RandomForest,332,NVDA,RandomForest,0.0
XGBoost,332,AAPL,XGBoost,0.24999999999999947
XGBoost,332,AMZN,XGBoost,0.24999999999999994
XGBoost,332,GOOGL,XGBoost,0.25
XGBoost,332,MSFT,XGBoost,0.25
XGBoost,332,NVDA,XGBoost,0.0
TabPFN,332,AAPL,TabPFN,0.25
TabPFN,332,AMZN,TabPFN,0.24999999999999784
TabPFN,332,GOOGL,TabPFN,0.25
TabPFN,332,MSFT,TabPFN,0.25
TabPFN,332,NVDA,TabPFN,0.0
EqualWeight,337,AAPL,EqualWeight,0.2
EqualWeight,337,AMZN,EqualWeight,0.2
EqualWeight,337,GOOGL,EqualWeight,0.2
EqualWeight,337,MSFT,EqualWeight,0.2
EqualWeight,337,NVDA,EqualWeight,0.2
Markowitz,337,AAPL,Markowitz,0.25
Markowitz,337,AMZN,Markowitz,0.25
Markowitz,337,GOOGL,Markowitz,0.25
Markowitz,337,MSFT,Markowitz,0.24999999999999825
Markowitz,337,NVDA,Markowitz,0.0
RandomForest,337,AAPL,RandomForest,0.24999999999999978
RandomForest,337,AMZN,RandomForest,0.24999999999999956
RandomForest,337,GOOGL,RandomForest,0.25
RandomForest,337,MSFT,RandomForest,0.25
RandomForest,337,NVDA,RandomForest,0.0
XGBoost,337,AAPL,XGBoost,0.24999999999999914
XGBoost,337,AMZN,XGBoost,0.24999999999999944
XGBoost,337,GOOGL,XGBoost,0.25
XGBoost,337,MSFT,XGBoost,0.25
XGBoost,337,NVDA,XGBoost,0.0
TabPFN,337,AAPL,TabPFN,0.25
TabPFN,337,AMZN,TabPFN,0.0
TabPFN,337,GOOGL,TabPFN,0.25
TabPFN,337,MSFT,TabPFN,0.25
TabPFN,337,NVDA,TabPFN,0.24999999999998523
EqualWeight,342,AAPL,EqualWeight,0.2
EqualWeight,342,AMZN,EqualWeight,0.2
EqualWeight,342,GOOGL,EqualWeight,0.2
EqualWeight,342,MSFT,EqualWeight,0.2
EqualWeight,342,NVDA,EqualWeight,0.2
Markowitz,342,AAPL,Markowitz,0.2499999999999996
Markowitz,342,AMZN,Markowitz,9.159339953157541e-16
Markowitz,342,GOOGL,Markowitz,0.24999999999999956
Markowitz,342,MSFT,Markowitz,0.25
Markowitz,342,NVDA,Markowitz,0.2499999999999999
RandomForest,342,AAPL,RandomForest,0.25
RandomForest,342,AMZN,RandomForest,0.0
RandomForest,342,GOOGL,RandomForest,0.25
RandomForest,342,MSFT,RandomForest,0.24999999999999772
RandomForest,342,NVDA,RandomForest,0.25
XGBoost,342,AAPL,XGBoost,0.24999999999999908
XGBoost,342,AMZN,XGBoost,1.0547118733938987e-15
XGBoost,342,GOOGL,XGBoost,0.24999999999999944
XGBoost,342,MSFT,XGBoost,0.25
XGBoost,342,NVDA,XGBoost,0.25
TabPFN,342,AAPL,TabPFN,0.24999999999999933
TabPFN,342,AMZN,TabPFN,0.0
TabPFN,342,GOOGL,TabPFN,0.25
TabPFN,342,MSFT,TabPFN,0.25
TabPFN,342,NVDA,TabPFN,0.25
EqualWeight,347,AAPL,EqualWeight,0.2
EqualWeight,347,AMZN,EqualWeight,0.2
EqualWeight,347,GOOGL,EqualWeight,0.2
EqualWeight,347,MSFT,EqualWeight,0.2
EqualWeight,347,NVDA,EqualWeight,0.2
Markowitz,347,AAPL,Markowitz,0.2499999999999998
Markowitz,347,AMZN,Markowitz,0.0
Markowitz,347,GOOGL,Markowitz,0.25
Markowitz,347,MSFT,Markowitz,0.24999999999999983
Markowitz,347,NVDA,Markowitz,0.25
RandomForest,347,AAPL,RandomForest,0.2499999999999992
RandomForest,347,AMZN,RandomForest,1.0547118733938987e-15
RandomForest,347,GOOGL,RandomForest,0.25
RandomForest,347,MSFT,RandomForest,0.24999999999999994
RandomForest,347,NVDA,RandomForest,0.24999999999999964
XGBoost,347,AAPL,XGBoost,0.25
XGBoost,347,AMZN,XGBoost,0.0
XGBoost,347,GOOGL,XGBoost,0.25
XGBoost,347,MSFT,XGBoost,0.24999999999999944
XGBoost,347,NVDA,XGBoost,0.25
TabPFN,347,AAPL,TabPFN,0.25
TabPFN,347,AMZN,TabPFN,0.0
TabPFN,347,GOOGL,TabPFN,0.25
TabPFN,347,MSFT,TabPFN,0.2499999999999995
TabPFN,347,NVDA,TabPFN,0.25
EqualWeight,352,AAPL,EqualWeight,0.2
EqualWeight,352,AMZN,EqualWeight,0.2
EqualWeight,352,GOOGL,EqualWeight,0.2
EqualWeight,352,MSFT,EqualWeight,0.2
EqualWeight,352,NVDA,EqualWeight,0.2
Markowitz,352,AAPL,Markowitz,0.22637423632797718
Markowitz,352,AMZN,Markowitz,0.02362576367202299
Markowitz,352,GOOGL,Markowitz,0.25
Markowitz,352,MSFT,Markowitz,0.2499999999999999
Markowitz,352,NVDA,Markowitz,0.24999999999999967
RandomForest,352,AAPL,RandomForest,0.19596911204041093
RandomForest,352,AMZN,RandomForest,0.05403088795958886
RandomForest,352,GOOGL,RandomForest,0.2499999999999996
RandomForest,352,MSFT,RandomForest,0.25
RandomForest,352,NVDA,RandomForest,0.25
XGBoost,352,AAPL,XGBoost,0.24999999999999986
XGBoost,352,AMZN,XGBoost,2.229119666630197e-16
XGBoost,352,GOOGL,XGBoost,0.25
XGBoost,352,MSFT,XGBoost,0.25
XGBoost,352,NVDA,XGBoost,0.24999999999999967
TabPFN,352,AAPL,TabPFN,0.0
TabPFN,352,AMZN,TabPFN,0.25
TabPFN,352,GOOGL,TabPFN,0.25
TabPFN,352,MSFT,TabPFN,0.24999999999999967
TabPFN,352,NVDA,TabPFN,0.25
EqualWeight,357,AAPL,EqualWeight,0.2
EqualWeight,357,AMZN,EqualWeight,0.2
EqualWeight,357,GOOGL,EqualWeight,0.2
EqualWeight,357,MSFT,EqualWeight,0.2
EqualWeight,357,NVDA,EqualWeight,0.2
Markowitz,357,AAPL,Markowitz,0.25
Markowitz,357,AMZN,Markowitz,0.2499999999999994
Markowitz,357,GOOGL,Markowitz,0.2499999999999999
Markowitz,357,MSFT,Markowitz,0.25
Markowitz,357,NVDA,Markowitz,3.885780586188048e-16
RandomForest,357,AAPL,RandomForest,0.24999999999999947
RandomForest,357,AMZN,RandomForest,0.25
RandomForest,357,GOOGL,RandomForest,0.25
RandomForest,357,MSFT,RandomForest,0.25
RandomForest,357,NVDA,RandomForest,0.0
XGBoost,357,AAPL,XGBoost,0.24999999999999978
XGBoost,357,AMZN,XGBoost,0.25
XGBoost,357,GOOGL,XGBoost,0.24999999999999978
